id,size,annualized,prop_dt,prop_large,prop_retail,prop_insider,share
000001,49.88,9.49%,2017-06-30,0.35%,99.65%,0.02%,44.41
000003,0.22,-8.44%,2017-06-30,1.64%,98.36%,0.00%,0.34
000004,0.21,-8.75%,2017-06-30,0.00%,100.00%,0.00%,0.32
000005,8.13,3.45%,2017-06-30,95.64%,4.36%,0.00%,9.94
000007,0.59,0.94%,2017-06-30,46.80%,53.20%,0.00%,0.87
000008,7.05,-8.52%,2017-06-30,7.76%,92.24%,0.03%,4.17
000009,361.60,4.08%,2017-06-30,2.34%,97.66%,0.10%,276.24
000010,302.49,4.33%,2017-06-30,96.55%,3.45%,0.00%,379.30
000011,30.63,29.92%,2017-06-30,6.91%,93.09%,0.02%,1.97
000013,22.88,4.34%,2017-06-30,100.00%,0.00%,0.00%,38.14
000014,9.22,0.61%,2017-06-30,89.75%,10.25%,0.00%,8.10
000015,16.56,2.09%,2017-06-30,89.56%,10.44%,0.01%,23.94
000016,1.21,1.59%,2017-06-30,61.96%,38.04%,0.03%,4.54
000017,1.83,14.36%,2017-06-30,45.68%,54.32%,0.06%,1.29
000020,5.99,36.06%,2017-06-30,30.65%,69.35%,0.09%,2.41
000021,65.07,4.28%,2017-06-30,0.27%,99.73%,0.00%,39.07
000022,0.37,0.76%,2017-06-30,18.53%,81.47%,0.00%,0.54
000023,0.05,0.53%,2017-06-30,---,100.00%,0.00%,0.05
000024,15.87,2.46%,2017-06-30,90.79%,9.21%,0.00%,11.59
000025,5.18,2.11%,2017-06-30,9.49%,90.51%,0.00%,2.75
000026,0.44,0.50%,2017-06-30,94.11%,5.89%,0.00%,1.75
000027,0.07,0.00%,2017-06-30,0.00%,100.00%,0.00%,0.07
000028,5.17,2.27%,2017-06-30,0.07%,99.93%,0.01%,5.95
000029,3.14,21.75%,2017-06-30,50.97%,49.03%,0.35%,1.60
000030,27.50,0.60%,2017-06-30,9.71%,90.29%,0.00%,34.76
000031,16.15,-13.24%,2017-06-30,2.05%,97.95%,0.01%,10.80
000032,7.70,1.72%,2017-06-30,88.25%,11.75%,0.00%,9.11
000033,0.94,1.33%,2017-06-30,12.03%,87.97%,0.00%,1.02
000037,5.27,4.28%,2017-06-30,1.49%,98.51%,0.08%,4.54
000038,277.34,4.58%,2017-06-30,99.22%,0.78%,0.00%,74.95
000039,4.30,4.70%,2017-06-30,3.16%,96.84%,0.00%,2.62
000041,54.29,16.59%,2017-06-30,1.31%,98.69%,0.02%,60.50
000042,1.00,15.71%,2017-06-30,71.06%,28.94%,0.58%,0.50
000043,1.02,10.14%,2017-06-30,---,100.00%,0.16%,0.44
000044,0.41,20.20%,2017-06-30,---,100.00%,0.00%,0.04
000045,3.78,5.73%,2017-06-30,83.43%,16.57%,0.00%,3.00
000046,1.36,5.30%,2017-06-30,57.50%,42.50%,0.01%,1.13
000047,0.52,2.46%,2017-06-30,78.15%,21.85%,0.03%,2.77
000048,0.40,2.30%,2017-06-30,---,100.00%,0.03%,0.51
000049,0.28,-0.38%,2017-06-30,0.00%,100.00%,0.43%,0.46
000050,0.18,0.38%,2017-06-30,48.44%,51.56%,0.00%,0.39
000051,112.78,15.64%,2017-06-30,36.21%,63.79%,0.03%,89.48
000052,0.52,0.09%,2017-06-30,0.00%,100.00%,0.00%,0.06
000053,0.23,-0.77%,2017-06-30,88.92%,11.08%,0.00%,1.65
000054,1.99,1.54%,2017-06-30,98.25%,1.75%,0.00%,4.20
000055,4.27,25.09%,2017-06-30,20.75%,79.25%,0.93%,1.45
000056,0.91,10.64%,2017-06-30,0.00%,100.00%,0.00%,0.36
000057,0.40,13.23%,2017-06-30,0.00%,100.00%,0.00%,0.20
000058,0.42,1.70%,2017-06-30,4.99%,95.01%,0.00%,0.51
000059,16.07,-6.97%,2017-06-30,89.19%,10.81%,0.01%,19.64
000061,14.06,-26.13%,2017-06-30,5.55%,94.45%,0.03%,17.61
000062,0.51,-5.16%,2017-06-30,87.89%,12.11%,0.07%,0.85
000063,13.66,-4.27%,2017-06-30,11.71%,88.29%,0.01%,8.65
000064,36.45,3.05%,2017-06-30,3.02%,96.98%,0.00%,35.61
000065,15.26,8.71%,2017-06-30,97.70%,2.30%,0.03%,10.41
000066,12.41,2.76%,2017-06-30,67.25%,32.75%,0.03%,17.85
000067,3.54,-5.41%,2017-06-30,93.52%,6.48%,0.00%,4.97
000068,0.49,-5.60%,2017-06-30,30.99%,69.01%,0.00%,0.84
000069,1.32,2.50%,2017-06-30,23.73%,76.27%,0.40%,1.84
000070,0.11,2.21%,2017-06-30,43.55%,56.45%,0.22%,0.30
000071,8.36,16.57%,2017-06-30,68.57%,31.43%,0.02%,9.68
000072,27.97,3.08%,2017-06-30,17.62%,82.38%,0.00%,39.40
000073,3.10,27.94%,2017-06-30,---,100.00%,0.00%,1.43
000074,7.68,1.48%,2017-06-30,83.87%,16.13%,0.11%,5.89
000075,8.36,26.98%,2017-06-30,68.57%,31.43%,0.02%,9.68
000076,8.36,33.11%,2017-06-30,68.57%,31.43%,0.02%,9.68
000077,0.87,1.10%,2017-06-30,0.00%,100.00%,0.07%,0.68
000078,1.72,-0.67%,2017-06-30,0.00%,100.00%,0.00%,0.47
000079,0.46,-1.01%,2017-06-30,0.00%,100.00%,0.00%,0.17
000080,0.39,-0.18%,2017-06-30,0.00%,100.00%,0.00%,0.44
000081,1.00,-0.54%,2017-06-30,0.00%,100.00%,0.00%,1.08
000082,4.79,16.31%,2017-06-30,77.43%,22.57%,0.07%,4.43
000083,40.06,49.09%,2017-06-30,7.75%,92.25%,0.02%,10.73
000084,0.27,2.70%,2017-06-30,3.77%,96.23%,0.17%,0.32
000085,4.41,2.37%,2017-06-30,---,100.00%,0.01%,6.87
000086,20.96,1.11%,2017-06-30,27.73%,72.27%,0.00%,78.51
000087,0.09,-4.11%,2017-06-30,---,100.00%,0.00%,0.09
000088,0.01,-4.11%,2017-06-30,---,100.00%,0.00%,0.01
000089,43.75,4.40%,2017-06-30,0.00%,100.00%,0.01%,30.08
000090,124.52,4.64%,2017-06-30,95.48%,4.52%,0.00%,13.82
